cl_min_perf,cl_max_perf,cl_median_perf,cl_mean_perf,cl_std_perf,pr_min_perf,pr_max_perf,pr_median_perf,pr_mean_perf,pr_std_perf,p_min_perf,p_max_perf,p_median_perf,p_mean_perf,p_std_perf,classifier-num,preprocessor-num,preprocessor,classifier,pipeline
0.0027452222574173,1.0,0.8138242405326149,0.7508251068664165,0.2182601258112605,0.0,1.0,0.6619433671194055,0.6030203470605434,0.3001015024753091,0.0120913129638973,1.0,0.7857011063191733,0.7323092228189687,0.2314704579655806,8,4,kitchen_sinks,liblinear_svc,kitchen_sinks-liblinear_svc
9.849305623953512e-05,1.0,0.7459354202133051,0.6983540689234604,0.2281141055065777,0.0,1.0,0.7975153191740494,0.7154069144610226,0.2565631614810367,0.0226508326508326,0.9928458051181328,0.6742946634730999,0.628108295066522,0.2748937345256151,4,11,select_percentile_classification,gaussian_nb,select_percentile_classification-gaussian_nb
0.0,1.0,0.7097471208097682,0.6342580950283898,0.2981601435566143,0.0,1.0,0.8098587325750048,0.7221757397155247,0.2534540684549451,0.0,1.0,0.4210421688215449,0.4476517683738195,0.3124245757284871,9,1,fast_ica,libsvm_svc,fast_ica-libsvm_svc
0.0,1.0,0.6868417720358763,0.6348791596130984,0.2707159461494897,0.0,1.0,0.7842633528295555,0.7060106585609369,0.2614373247758434,0.0,1.0,0.6796115575966323,0.6402561741631194,0.2583496340576739,13,5,liblinear_svc_preprocessor,qda,liblinear_svc_preprocessor-qda
0.0008430092886448,1.0,0.8502491632617839,0.7983132127010153,0.1843418608151061,5.306792360277604e-06,1.0,0.7912087912087911,0.7183673989641628,0.2414654502775805,0.1624250718963306,1.0,0.8533776301218161,0.8074835954614675,0.1649048600509249,3,8,pca,extra_trees,pca-extra_trees
0.0004262574595055,1.0,0.9140866590868748,0.8297617393432654,0.2149989629735834,0.0,1.0,0.8042143299770278,0.7271841258416253,0.2444456679056478,0.0101166449032067,1.0,0.9001949925065116,0.8351716110938893,0.1978197541208016,5,0,extra_trees_preproc_for_classification,gradient_boosting,extra_trees_preproc_for_classification-gradient_boosting
0.0004262574595055,1.0,0.9140866590868748,0.8297617393432654,0.2149989629735834,5.306792360277604e-06,1.0,0.7912087912087911,0.7183673989641628,0.2414654502775805,0.000442257544586,1.0,0.8589797550937988,0.7745957092524924,0.2503512359370255,5,8,pca,gradient_boosting,pca-gradient_boosting
0.0008430092886448,1.0,0.8935140982816414,0.8458874639658579,0.1575746059599131,6.192917290686654e-05,1.0,0.8278892695961235,0.7609511780611006,0.2186296435741766,0.156899491855244,1.0,0.8949624301202816,0.8618675046145698,0.1344632733507414,14,10,random_trees_embedding,random_forest,random_trees_embedding-random_forest
0.0027452222574173,1.0,0.8138242405326149,0.7508251068664165,0.2182601258112605,5.306792360277604e-06,1.0,0.7912087912087911,0.7183673989641628,0.2414654502775805,0.0559325347471959,1.0,0.7282123660235231,0.6921019327453262,0.2269819186256997,8,8,pca,liblinear_svc,pca-liblinear_svc
0.0008430092886448,1.0,0.8502491632617839,0.7983132127010153,0.1843418608151061,0.0,1.0,0.7975153191740494,0.7154069144610226,0.2565631614810367,0.0757043933245305,1.0,0.7767969853414238,0.7417225303070956,0.194951261003919,3,11,select_percentile_classification,extra_trees,select_percentile_classification-extra_trees
0.0008430092886448,1.0,0.91995841995842,0.8483646653341912,0.1871904395638968,5.306792360277604e-06,1.0,0.7912087912087911,0.7183673989641628,0.2414654502775805,0.1361918240078937,1.0,0.9038858614547544,0.8635775723185218,0.1549553363085007,0,8,pca,adaboost,pca-adaboost
0.0008430092886448,1.0,0.91995841995842,0.8483646653341912,0.1871904395638968,0.0,1.0,0.782650291663753,0.6956456857732111,0.2693707357865937,0.0008430092886448,1.0,0.9310214710166688,0.8236128977746463,0.2306829810813281,0,12,select_rates_classification,adaboost,select_rates_classification-adaboost
0.0,1.0,0.7662854076176069,0.6771527410413897,0.2795401038795396,6.192917290686654e-05,1.0,0.8278892695961235,0.7609511780611006,0.2186296435741766,6.192917290686654e-05,1.0,0.6512577740647916,0.5796262113487608,0.3039166723317354,2,10,random_trees_embedding,decision_tree,random_trees_embedding-decision_tree
